Alpha,Train_Ratio,Opt_Ratio,Model,Accuracy Percentage,Manual Percentage
0.9,0.1,0.1,svm_rbf,0.996101365,0.996101365
0.95,0.1,0.1,svm_rbf,0.996101365,0.996101365
0.99,0.1,0.1,svm_rbf,0.996101365,0.996101365
1,0.1,0.1,svm_rbf,1,1
0.9,0.1,0.1,logistic_regression,0.921377518,0.325536062
0.95,0.1,0.1,logistic_regression,1,1
0.99,0.1,0.1,logistic_regression,1,1
1,0.1,0.1,logistic_regression,1,1
0.9,0.1,0.1,decision_tree,1,1
0.95,0.1,0.1,decision_tree,1,1
0.99,0.1,0.1,decision_tree,1,1
1,0.1,0.1,decision_tree,1,1
0.9,0.1,0.1,random_forest,0.920077973,0.253411306
0.95,0.1,0.1,random_forest,0.960363873,0.520467836
0.99,0.1,0.1,random_forest,0.992202729,0.890838207
1,0.1,0.1,random_forest,1,1
0.9,0.1,0.2,svm_rbf,0.996101365,0.996101365
0.95,0.1,0.2,svm_rbf,0.996101365,0.996101365
0.99,0.1,0.2,svm_rbf,0.996101365,0.996101365
1,0.1,0.2,svm_rbf,1,1
0.9,0.1,0.2,logistic_regression,0.999350227,0.998700455
0.95,0.1,0.2,logistic_regression,0.999350227,0.998700455
0.99,0.1,0.2,logistic_regression,0.999350227,0.998700455
1,0.1,0.2,logistic_regression,1,1
0.9,0.1,0.2,decision_tree,1,1
0.95,0.1,0.2,decision_tree,1,1
0.99,0.1,0.2,decision_tree,1,1
1,0.1,0.2,decision_tree,1,1
0.9,0.1,0.2,random_forest,0.931124107,0.406107862
0.95,0.1,0.2,random_forest,0.968810916,0.63222872
0.99,0.1,0.2,random_forest,0.993502274,0.904483431
1,0.1,0.2,random_forest,1,1
0.9,0.1,0.3,svm_rbf,0.996751137,0.996751137
0.95,0.1,0.3,svm_rbf,0.996751137,0.996751137
0.99,0.1,0.3,svm_rbf,0.996751137,0.996751137
1,0.1,0.3,svm_rbf,1,1
0.9,0.1,0.3,logistic_regression,0.999350227,0.998700455
0.95,0.1,0.3,logistic_regression,0.999350227,0.998700455
0.99,0.1,0.3,logistic_regression,0.999350227,0.998700455
1,0.1,0.3,logistic_regression,1,1
0.9,0.1,0.3,decision_tree,1,1
0.95,0.1,0.3,decision_tree,1,1
0.99,0.1,0.3,decision_tree,1,1
1,0.1,0.3,decision_tree,1,1
0.9,0.1,0.3,random_forest,0.940870695,0.490578298
0.95,0.1,0.3,random_forest,0.970110461,0.650422352
0.99,0.1,0.3,random_forest,0.994152047,0.916179337
1,0.1,0.3,random_forest,1,1
0.9,0.1,0.4,svm_rbf,0.996751137,0.996751137
0.95,0.1,0.4,svm_rbf,0.996751137,0.996751137
0.99,0.1,0.4,svm_rbf,0.996751137,0.996751137
1,0.1,0.4,svm_rbf,1,1
0.9,0.1,0.4,logistic_regression,0.963612736,0.721897336
0.95,0.1,0.4,logistic_regression,0.999350227,0.998700455
0.99,0.1,0.4,logistic_regression,0.999350227,0.998700455
1,0.1,0.4,logistic_regression,1,1
0.9,0.1,0.4,decision_tree,1,1
0.95,0.1,0.4,decision_tree,1,1
0.99,0.1,0.4,decision_tree,1,1
1,0.1,0.4,decision_tree,1,1
0.9,0.1,0.4,random_forest,0.951267057,0.590643275
0.95,0.1,0.4,random_forest,0.976608187,0.745289149
0.99,0.1,0.4,random_forest,1,1
1,0.1,0.4,random_forest,1,1
0.9,0.1,0.5,svm_rbf,0.99740091,0.99740091
0.95,0.1,0.5,svm_rbf,0.99740091,0.99740091
0.99,0.1,0.5,svm_rbf,0.99740091,0.99740091
1,0.1,0.5,svm_rbf,1,1
