image_link,transformation,ground_truth,human_label,IQA
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n04037443_29242.JPEG,original,car,car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n02814533_91482.JPEG,original,car,car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/defocus_blur/n03095699_3680.JPEG,original,not car,not car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/jpeg_compression/n03938244_28808.JPEG.jpeg_compression_122.png,jpeg_compression,not car,not car,0.1288656053544312
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/gaussian_noise/n03670208_9732.JPEG.gaussian_noise_944.png,gaussian_noise,car,car,0.05677805708014174
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n03777568_465.JPEG,original,car,car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/gaussian_noise/n03770679_17481.JPEG,original,car,car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/gaussian_noise/n03095699_12123.JPEG,original,not car,not car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/gaussian_noise/n02701002_19257.JPEG,original,car,car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/defocus_blur/n03938244_16247.JPEG.defocus_blur_615.png,defocus_blur,not car,not car,0.007407730283506225
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/defocus_blur/n03095699_11006.JPEG,original,not car,not car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/gaussian_noise/n02125311_5513.JPEG.gaussian_noise_377.png,gaussian_noise,not car,not car,0.042662432496178355
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/gaussian_noise/n03127747_4845.JPEG.gaussian_noise_816.png,gaussian_noise,not car,not car,0.05630891497030256
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/gaussian_noise/n03938244_2415.JPEG.gaussian_noise_985.png,gaussian_noise,not car,not car,0.03790251306818891
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/defocus_blur/n04037443_11035.JPEG.defocus_blur_87.png,defocus_blur,car,car,0.016069244931960457
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n03938244_22162.JPEG,original,not car,not car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n02123394_715.JPEG,original,not car,not car,1
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_TRANSFORMED/jpeg_compression/n03938244_21073.JPEG.jpeg_compression_653.png,jpeg_compression,not car,not car,0.11643731921854603
https://pilotexp.s3.ca-central-1.amazonaws.com/IMG_ORIGINAL/jpeg_compression/n04037443_29242.JPEG,original,car,car,1
